Country,GDP_per_cap
Afghanistan ,700.0
Albania ,4500.0
Algeria ,6000.0
American Samoa ,8000.0
Andorra ,19000.0
Angola ,1900.0
Anguilla ,8600.0
Antigua & Barbuda ,11000.0
Argentina ,11200.0
Armenia ,3500.0
Aruba ,28000.0
Australia ,29000.0
Austria ,30000.0
Azerbaijan ,3400.0
"Bahamas, The ",16700.0
Bahrain ,16900.0
Bangladesh ,1900.0
Barbados ,15700.0
Belarus ,6100.0
Belgium ,29100.0
Belize ,4900.0
Benin ,1100.0
Bermuda ,36000.0
Bhutan ,1300.0
Bolivia ,2400.0
Bosnia & Herzegovina ,6100.0
Botswana ,9000.0
Brazil ,7600.0
British Virgin Is. ,16000.0
Brunei ,18600.0
Bulgaria ,7600.0
Burkina Faso ,1100.0
Burma ,1800.0
Burundi ,600.0
Cambodia ,1900.0
Cameroon ,1800.0
Canada ,29800.0
Cape Verde ,1400.0
Cayman Islands ,35000.0
Central African Rep. ,1100.0
Chad ,1200.0
Chile ,9900.0
China ,5000.0
Colombia ,6300.0
Comoros ,700.0
"Congo, Dem. Rep. ",700.0
"Congo, Repub. of the ",700.0
Cook Islands ,5000.0
Costa Rica ,9100.0
Cote d'Ivoire ,1400.0
Croatia ,10600.0
Cuba ,2900.0
Cyprus ,19200.0
Czech Republic ,15700.0
Denmark ,31100.0
Djibouti ,1300.0
Dominica ,5400.0
Dominican Republic ,6000.0
East Timor ,500.0
Ecuador ,3300.0
Egypt ,4000.0
El Salvador ,4800.0
Equatorial Guinea ,2700.0
Eritrea ,700.0
Estonia ,12300.0
Ethiopia ,700.0
Faroe Islands ,22000.0
Fiji ,5800.0
Finland ,27400.0
France ,27600.0
French Guiana ,8300.0
French Polynesia ,17500.0
Gabon ,5500.0
"Gambia, The ",1700.0
Gaza Strip ,600.0
Georgia ,2500.0
Germany ,27600.0
Ghana ,2200.0
Gibraltar ,17500.0
Greece ,20000.0
Greenland ,20000.0
Grenada ,5000.0
Guadeloupe ,8000.0
Guam ,21000.0
Guatemala ,4100.0
Guernsey ,20000.0
Guinea ,2100.0
Guinea-Bissau ,800.0
Guyana ,4000.0
Haiti ,1600.0
Honduras ,2600.0
Hong Kong ,28800.0
Hungary ,13900.0
Iceland ,30900.0
India ,2900.0
Indonesia ,3200.0
Iran ,7000.0
Iraq ,1500.0
Ireland ,29600.0
Isle of Man ,21000.0
Israel ,19800.0
Italy ,26700.0
Jamaica ,3900.0
Japan ,28200.0
Jersey ,24800.0
Jordan ,4300.0
Kazakhstan ,6300.0
Kenya ,1000.0
Kiribati ,800.0
"Korea, North ",1300.0
"Korea, South ",17800.0
Kuwait ,19000.0
Kyrgyzstan ,1600.0
Laos ,1700.0
Latvia ,10200.0
Lebanon ,4800.0
Lesotho ,3000.0
Liberia ,1000.0
Libya ,6400.0
Liechtenstein ,25000.0
Lithuania ,11400.0
Luxembourg ,55100.0
Macau ,19400.0
Macedonia ,6700.0
Madagascar ,800.0
Malawi ,600.0
Malaysia ,9000.0
Maldives ,3900.0
Mali ,900.0
Malta ,17700.0
Marshall Islands ,1600.0
Martinique ,14400.0
Mauritania ,1800.0
Mauritius ,11400.0
Mayotte ,2600.0
Mexico ,9000.0
"Micronesia, Fed. St. ",2000.0
Moldova ,1800.0
Monaco ,27000.0
Mongolia ,1800.0
Montserrat ,3400.0
Morocco ,4000.0
Mozambique ,1200.0
Namibia ,7200.0
Nauru ,5000.0
Nepal ,1400.0
Netherlands ,28600.0
Netherlands Antilles ,11400.0
New Caledonia ,15000.0
New Zealand ,21600.0
Nicaragua ,2300.0
Niger ,800.0
Nigeria ,900.0
N. Mariana Islands ,12500.0
Norway ,37800.0
Oman ,13100.0
Pakistan ,2100.0
Palau ,9000.0
Panama ,6300.0
Papua New Guinea ,2200.0
Paraguay ,4700.0
Peru ,5100.0
Philippines ,4600.0
Poland ,11100.0
Portugal ,18000.0
Puerto Rico ,16800.0
Qatar ,21500.0
Reunion ,5800.0
Romania ,7000.0
Russia ,8900.0
Rwanda ,1300.0
Saint Helena ,2500.0
Saint Kitts & Nevis ,8800.0
Saint Lucia ,5400.0
St Pierre & Miquelon ,6900.0
Saint Vincent and the Grenadines ,2900.0
Samoa ,5600.0
San Marino ,34600.0
Sao Tome & Principe ,1200.0
Saudi Arabia ,11800.0
Senegal ,1600.0
Serbia ,2200.0
Seychelles ,7800.0
Sierra Leone ,500.0
Singapore ,23700.0
Slovakia ,13300.0
Slovenia ,19000.0
Solomon Islands ,1700.0
Somalia ,500.0
South Africa ,10700.0
Spain ,22000.0
Sri Lanka ,3700.0
Sudan ,1900.0
Suriname ,4000.0
Swaziland ,4900.0
Sweden ,26800.0
Switzerland ,32700.0
Syria ,3300.0
Taiwan ,23400.0
Tajikistan ,1000.0
Tanzania ,600.0
Thailand ,7400.0
Togo ,1500.0
Tonga ,2200.0
Trinidad & Tobago ,9500.0
Tunisia ,6900.0
Turkey ,6700.0
Turkmenistan ,5800.0
Turks & Caicos Is ,9600.0
Tuvalu ,1100.0
Uganda ,1400.0
Ukraine ,5400.0
United Arab Emirates ,23200.0
United Kingdom ,27700.0
United States ,37800.0
Uruguay ,12800.0
Uzbekistan ,1700.0
Vanuatu ,2900.0
Venezuela ,4800.0
Vietnam ,2500.0
Virgin Islands ,17200.0
Wallis and Futuna ,3700.0
West Bank ,800.0
Yemen ,800.0
Zambia ,800.0
Zimbabwe ,1900.0
